ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,1-2,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,2-1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,2-2,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,2-3,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,2-4,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,2-5,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,2-6,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,3,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,4-2,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,4-4,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,4-5,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,5-1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,5-2,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,5-4,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,7-2,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,7-4,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,7-6,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,7-7,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,9,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,11,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,13,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,17-1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,18-1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,18-3,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,19-1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,21,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,22,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,23,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,24-1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,24-2,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,24-3,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-1,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-2,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-3,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-4,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-5,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-6,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-8,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-9,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-10,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-11,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-12,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-13,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-14,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-15,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,25-16,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,道-3,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,道-417,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,水-152,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47770,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47771,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47772,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47773,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47774,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47775,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47776,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47777,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47778,,
30343-1716-1.zip,202202031453,伊都郡九度山町,地区外-47779,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,道-410,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,道-412,,
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,筆界未定地-13,伊都郡九度山町大字下古沢,15-2
30343-1716-1.zip,202202031453,伊都郡九度山町大字下古沢,筆界未定地-13,伊都郡九度山町大字下古沢,16-2
